participant_id,RestingState,SAIIT_2AFC_Block1,SAIIT_2AFC_Block2,SAIIT_2AFC_Block3,SurroundSupp_Block1,SurroundSupp_Block2,WISC_ProcSpeed,vis_learn,Video-DM,Video-FF,Video-WK,Video-TP
NDARAZ370YRF,190101234,0,0,0,0,0,0,0,55314354,55289116,40953128,57391807
NDARBC072ZTZ,0,28473856,33520007,32276893,42893188,39451935,63165314,51179626,23305300,22333498,16047343,27687063
NDARBD681AAN,154650765,75579656,71039395,86407370,75981393,0,47127146,76347007,48594406,47568923,44287608,58441651
NDARBE052JRG,0,28743624,0,0,35706905,0,21870301,59437382,0,81211825,0,0
NDARBG014EZW,0,0,0,0,0,0,29991202,25654174,36902261,24554788,18669858,25387730
NDARBG672ZAY,0,30859883,32658999,33492290,41887265,0,23145463,49159442,22992451,23565620,21282618,27529543
NDARBK051RPR,104791582,67165973,67977068,70671336,80901028,84344230,44276377,86995358,48338024,46195993,33082090,57018677
NDARBK887DTY,0,0,190250685,0,190733730,0,56571975,37067118,24876319,0,0,0
NDARBT041ZVD,0,37598846,84077417,0,45513666,39813391,22075232,42210565,0,96054295,0,28275986
NDARBU536MBB,43483650,313205078,34591950,40191234,39321381,42669924,23662777,50836545,24740517,23447129,16999448,29157387
NDARBU638RCC,0,0,0,0,0,0,0,0,0,0,0,0
NDARBV174WZW,105470678,88382804,69835772,72556546,83472477,97425242,45877004,81171114,50052246,47544360,34520951,59049416
NDARBV702GXD,0,39549261,34228620,64286584,56641945,42105507,41671664,37823765,24379831,23377829,16935451,29321872
NDARBY526RLB,0,51927665,100510941,0,40130021,42622673,36315655,29149466,0,0,16688475,28545500
NDARCA900TPD,49572520,43183171,39187097,44224048,94150686,43249263,22978257,58557175,24378473,23214257,16762344,28651433
NDARCB955UGN,122312691,0,0,0,46682140,0,40280118,59144127,52534175,49283507,37967334,56156693
NDARCC489EJG,0,29680412,34609310,35044967,36335766,0,23108465,29651758,23507812,23188878,20641567,27936398
NDARCD303NCU,102607388,68655620,74742890,69682877,87134134,80544513,44439485,81718362,47080364,46213415,32499942,55637801
NDARCE396XJC,0,0,0,0,0,45851438,0,0,28394114,22974735,20919893,28547123
NDARCH556DM5,95790647,0,0,0,74289890,0,0,0,0,0,0,0
NDARCH706VKG,95398082,76894849,83401240,0,68834434,0,44245723,61537315,66535160,45177950,39169848,54835877
NDARCJ372MF0,94502246,82290072,78772975,67352027,71512432,89877190,57423856,122928839,45644331,44634113,31716716,54681020
NDARCK338GYD,91166330,80601517,66587088,80890357,64162532,85814168,42941324,63723746,43970545,42644752,30911691,52975677
NDARCL431HGF,162720913,172528469,495489637,0,86174657,0,100888685,109841750,0,0,177145113,0
NDARCL936UBX,103706150,128009778,0,0,154416430,119523294,86763716,0,56908204,53596778,32889962,54729754
NDARCM861RWX,146804656,0,0,0,0,0,0,0,60271609,53284206,52433363,57590097
NDARCP003NM8,0,0,41657758,40061490,44689093,52264581,31615471,35567617,24750416,24112617,17054978,29576273
NDARCR436HL3,2564,45966185,0,0,0,0,74210470,40115977,28778962,28532136,22018172,27830051
NDARCT688XY8,0,0,0,0,0,0,26355511,43736981,30053566,36285784,29608808,28485128
NDARCU334XGH,0,55037026,113067639,0,45304493,42668872,32769747,53329890,0,0,16456435,28313425
NDARCU939PDG,0,0,0,0,0,0,22386694,38316473,47419543,27441966,22044163,28585709
NDARCV271ZWR,0,0,0,0,184818085,0,103821404,0,54704131,50167440,37510090,56463576
NDARCX275WX1,119431853,111943187,0,0,87836222,0,90023724,67930429,81031862,70876818,52845818,57844894
NDARCX563TDZ,0,505123454,82804450,76728324,0,85385703,0,0,48541301,47800090,33153222,57142609
NDARCZ259CBP,0,0,0,0,0,0,27785621,48623291,30271369,34878300,33566975,28469456
NDARDA249WR2,0,0,0,0,0,0,22086050,35761532,27726486,26210438,20573272,26616848
NDARDE253APN,0,27955470,32886574,54879730,41891969,47039571,22492940,0,22272217,21367431,15702451,26699230
NDARDE432HL7,2020,28605618,34728296,77477209,36903238,49577671,38329305,29617993,0,22993679,16650003,28608032
NDARDF633WZH,0,0,45103677,37362123,42329950,51601651,24191911,67522803,24247378,23021264,16772199,28768024
NDARDF655GF2,157990714,126719467,121273379,79863028,90503280,107578304,72538651,84261782,47204754,45309619,32741922,56413038
NDARDG153PYN,0,30047101,46187805,34329885,44133570,0,43907474,63415845,23325099,22493033,20662524,27742547
NDARDL605EPP,113547684,140250678,465851713,0,76509021,0,101002695,95730442,46143157,0,0,0
NDARDM490UUQ,99551379,79241440,118021890,65783414,79428863,92836854,87207751,97815002,48173779,46716851,33432367,57343623
NDARDN464KAR,97140088,84162952,0,0,81418707,0,84114534,107465457,56422684,104848358,40532834,55996473
NDARDN829VXQ,97598496,66243035,83893573,65959734,81022531,80243690,45283207,76016561,47009561,46536794,32428898,55336220
NDARDP133RHF,0,0,0,0,42427715,0,22197840,37958241,30663429,30522950,21828783,29159875
NDARDT501GJR,0,28438415,34137260,32932690,35924012,39073329,22280471,33809572,23002411,22157252,15969799,27611851
NDARDU912NH6,0,0,45405040,45546735,75608053,45533118,23338462,44484157,24022234,23249074,16755947,28945300
NDARDV402HAG,0,34275742,41908156,0,41678456,0,24525650,77820414,29561828,23586834,23801989,29186102
NDARDX744RWP,0,0,33180841,33304526,68664675,41827439,22491470,44272316,24215272,22894804,16865756,28978824
NDARED914ZXC,94381871,104577976,337736355,0,77383469,0,43430884,81408010,0,0,97236082,0
NDAREE512AAT,0,61126376,0,0,412864245,0,0,0,84948250,85256348,0,58463150
NDAREK856CL2,120249361,71600520,65335679,83834817,79792078,90933167,44320653,87342686,45094365,45298616,31390079,55153918
NDAREL052YBF,0,27858043,0,0,0,0,20747602,38052314,27841845,26102212,19630482,27042462
NDAREL747HU0,157954561,90763543,72366602,64072868,67709872,92780072,59014396,119364876,45150097,43175963,31411984,53641499
NDAREN271CMZ,0,39486941,0,0,55814217,0,20644180,32111205,0,25735052,146630817,26626110
NDAREN375UL1,0,30825284,34574522,34374792,36864096,39834648,25735138,51621929,24199119,23211367,16641811,28823121
NDAREP646ZG1,0,0,0,0,0,0,0,0,0,0,0,0
NDAREX063EMH,96480950,68304285,69049898,70065622,79528740,96360745,48700316,106212608,48840289,47090098,33629386,57771774
NDAREX420NW4,98617827,0,0,0,0,0,88410738,77539131,55493026,73014476,59569041,53981554
NDAREY465EEQ,0,34157580,37040235,36692710,45970913,43364218,51684265,40160943,24432381,23264264,17091048,28275680
NDAREZ293FKX,0,39760923,64062501,50200526,35343077,61904073,28746729,85247898,22955711,23560331,15910408,57881004
NDARFA106HC3,114486259,75879544,73056872,65872672,76418538,80082802,48525178,122168287,48476313,48076399,33584304,57401159
NDARFD818MHL,96894127,88024342,69383626,81821192,68421216,79821582,42355693,50731525,46450274,46011386,33029485,57603935
NDARFG523MRR,0,79109955,36112775,35184481,46666867,42805257,24965621,52432325,24853281,23453756,17023579,29264924
NDARFG948LTC,0,81393905,33745433,48657120,41824653,39166952,22699467,37120520,22764238,22345189,16044086,27631360
